Country,Region,Population,Area,Pop. Density (per sq. mi.),Infant mortality,GDP (per capita),Literacy Rate,Arable land (%),Crops land (%),Other land (%),Birth Rate,Death Rate,Agriculture,Industry,Service
Afghanistan ,Asia,31056997,647500,48,0.16307,700,0.36,12.13,0.22,87.65,0.466,0.2034,0.38,0.24,0.38
Albania ,Europe,3581655,28748,124.6,0.02152,4500,0.865,21.09,4.42,74.49,0.1511,0.0522,0.232,0.188,0.579
Algeria ,Africa,32930091,2381740,13.8,0.031,6000,0.7,3.22,0.25,96.53,0.1714,0.0461,0.101,0.6,0.298
Angola ,Africa,12127071,1246700,9.7,0.19119,1900,0.42,2.41,0.24,97.35,0.4511,0.242,0.096,0.658,0.246
Anguilla ,SouthAmerica,13477,102,132.1,0.02103,8600,0.95,0,0,100,0.1417,0.0534,0.04,0.18,0.78
Argentina ,SouthAmerica,39921833,2766890,14.4,0.01518,11200,0.971,12.31,0.48,87.21,0.1673,0.0755,0.095,0.358,0.547
Armenia ,Asia,2976372,29800,99.9,0.02328,3500,0.986,17.55,2.3,80.15,0.1207,0.0823,0.239,0.343,0.418
Aruba ,SouthAmerica,71891,193,372.5,0.00589,28000,0.97,10.53,0,89.47,0.1103,0.0668,0.004,0.333,0.663
Australia ,Oceania                            ,20264082,7686850,2.6,0.00469,29000,1,6.55,0.04,93.41,0.1214,0.0751,0.038,0.262,0.7
Austria ,Europe,8192880,83870,97.7,0.00466,30000,0.98,16.91,0.86,82.23,0.0874,0.0976,0.018,0.304,0.678
Azerbaijan ,Asia,7961619,86600,91.9,0.08174,3400,0.97,19.63,2.71,77.66,0.2074,0.0975,0.141,0.457,0.402
Bahamas. The ,SouthAmerica,303770,13940,21.8,0.02521,16700,0.956,0.8,0.4,98.8,0.1757,0.0905,0.03,0.07,0.9
Bahrain ,Asia,698585,665,1050.5,0.01727,16900,0.891,2.82,5.63,91.55,0.178,0.0414,0.005,0.387,0.608
Bangladesh ,Asia,147365352,144000,1023.4,0.0626,1900,0.431,62.11,3.07,34.82,0.298,0.0827,0.199,0.198,0.603
Barbados ,SouthAmerica,279912,431,649.5,0.0125,15700,0.974,37.21,2.33,60.46,0.1271,0.0867,0.06,0.16,0.78
Belarus ,Europe,10293011,207600,49.6,0.01337,6100,0.996,29.55,0.6,69.85,0.1116,0.1402,0.093,0.316,0.591
Belgium ,Europe,10379067,30528,340,0.00468,29100,0.98,23.28,0.4,76.32,0.1038,0.1027,0.01,0.24,0.749
Benin ,Africa,7862944,112620,69.8,0.085,1100,0.409,18.08,2.4,79.52,0.3885,0.1222,0.316,0.138,0.546
Bermuda ,NorthAmerica                   ,65773,53,1241,0.00853,36000,0.98,20,0,80,0.114,0.0774,0.01,0.1,0.89
Bhutan ,Asia,2279723,47000,48.5,0.10044,1300,0.422,3.09,0.43,96.48,0.3365,0.127,0.258,0.379,0.363
Bolivia ,SouthAmerica,8989046,1098580,8.2,0.05311,2400,0.872,2.67,0.19,97.14,0.233,0.0753,0.128,0.352,0.52
Botswana ,Africa,1639833,600370,2.7,0.05458,9000,0.798,0.65,0.01,99.34,0.2308,0.295,0.024,0.469,0.507
Brazil ,SouthAmerica,188078227,8511965,22.1,0.02961,7600,0.864,6.96,0.9,92.15,0.1656,0.0617,0.084,0.4,0.516
Brunei ,Asia,379444,5770,65.8,0.01261,18600,0.939,0.57,0.76,98.67,0.1879,0.0345,0.036,0.561,0.403
Bulgaria ,Europe,7385367,110910,66.6,0.02055,7600,0.986,40.02,1.92,58.06,0.0965,0.1427,0.093,0.304,0.603
Burkina Faso ,Africa,13902972,274200,50.7,0.09757,1100,0.266,14.43,0.19,85.38,0.4562,0.156,0.322,0.196,0.482
Burma ,Asia,47382633,678500,69.8,0.06724,1800,0.853,15.19,0.97,83.84,0.1791,0.0983,0.564,0.082,0.353
Cambodia ,Asia,13881427,181040,76.7,0.07148,1900,0.694,20.96,0.61,78.43,0.269,0.0906,0.35,0.3,0.35
Cameroon ,Africa,17340702,475440,36.5,0.06826,1800,0.79,12.81,2.58,84.61,0.3389,0.1347,0.448,0.17,0.382
Canada ,NorthAmerica                   ,33098932,9984670,3.3,0.00475,29800,0.97,4.96,0.02,95.02,0.1078,0.078,0.022,0.294,0.684
Cayman Islands ,SouthAmerica,45436,262,173.4,0.00819,35000,0.98,3.85,0,96.15,0.1274,0.0489,0.014,0.032,0.954
Central African Rep. ,Africa,4303356,622984,6.9,0.091,1100,0.51,3.1,0.14,96.76,0.3391,0.1865,0.55,0.2,0.25
Chad ,Africa,9944201,1284000,7.7,0.09382,1200,0.475,2.86,0.02,97.12,0.4573,0.1638,0.335,0.259,0.406
Chile ,SouthAmerica,16134219,756950,21.3,0.0088,9900,0.962,2.65,0.42,96.93,0.1523,0.0581,0.06,0.493,0.447
China ,Asia,1313973713,9596960,136.9,0.02418,5000,0.909,15.4,1.25,83.35,0.1325,0.0697,0.125,0.473,0.403
Colombia ,SouthAmerica,43593035,1138910,38.3,0.02097,6300,0.925,2.42,1.67,95.91,0.2048,0.0558,0.125,0.342,0.533
Congo. Dem. Rep. ,Africa,62660551,2345410,26.7,0.09469,700,0.655,2.96,0.52,96.52,0.4369,0.1327,0.55,0.11,0.34
Congo. Repub. of the ,Africa,3702314,342000,10.8,0.09386,700,0.838,0.51,0.13,99.36,0.4257,0.1293,0.062,0.57,0.369
Costa Rica ,SouthAmerica,4075261,51100,79.8,0.00995,9100,0.96,4.41,5.88,89.71,0.1832,0.0436,0.088,0.299,0.614
Cote d'Ivoire ,Africa,17654843,322460,54.8,0.09083,1400,0.509,9.75,13.84,76.41,0.3511,0.1484,0.279,0.171,0.55
Croatia ,Europe,4494749,56542,79.5,0.00684,10600,0.985,26.09,2.27,71.65,0.0961,0.1148,0.07,0.308,0.622
Cuba ,SouthAmerica,11382820,110860,102.7,0.00633,2900,0.97,33.05,7.6,59.35,0.1189,0.0722,0.055,0.261,0.684
Czech Republic ,Europe,10235455,78866,129.8,0.00393,15700,0.999,39.8,3.05,57.15,0.0902,0.1059,0.034,0.393,0.573
Denmark ,Europe,5450661,43094,126.5,0.00456,31100,1,54.02,0.19,45.79,0.1113,0.1036,0.018,0.246,0.735
Dominica ,SouthAmerica,68910,754,91.4,0.01415,5400,0.94,6.67,20,73.33,0.1527,0.0673,0.177,0.328,0.495
Dominican Republic ,SouthAmerica,9183984,48730,188.5,0.03238,6000,0.847,22.65,10.33,67.02,0.2322,0.0573,0.112,0.306,0.582
Ecuador ,SouthAmerica,13547510,283560,47.8,0.02366,3300,0.925,5.85,4.93,89.22,0.2229,0.0423,0.07,0.312,0.618
Egypt ,Africa,78887007,1001450,78.8,0.03259,4000,0.577,2.87,0.48,96.65,0.2294,0.0523,0.149,0.357,0.493
Equatorial Guinea ,Africa,540109,28051,19.3,0.08513,2700,0.857,4.63,3.57,91.8,0.3559,0.1506,0.03,0.906,0.062
Estonia ,Europe,1324333,45226,29.3,0.00787,12300,0.998,16.04,0.45,83.51,0.1004,0.1325,0.04,0.294,0.666
Ethiopia ,Africa,74777981,1127127,66.3,0.09532,700,0.427,10.71,0.75,88.54,0.3798,0.1486,0.475,0.099,0.426
Fiji ,Oceania                            ,905949,18270,49.6,0.01262,5800,0.937,10.95,4.65,84.4,0.2255,0.0565,0.089,0.135,0.776
Finland ,Europe,5231372,338145,15.5,0.00357,27400,1,7.19,0.03,92.78,0.1045,0.0986,0.028,0.295,0.676
France ,Europe,60876136,547030,111.3,0.00426,27600,0.99,33.53,2.07,64.4,0.1199,0.0914,0.022,0.214,0.764
French Guiana ,SouthAmerica,199509,91000,2.2,0.01207,8300,0.83,0.14,0.05,99.81,0.2046,0.0488,0.066,0.156,0.778
French Polynesia ,Oceania                            ,274578,4167,65.9,0.00844,17500,0.98,0.82,5.46,93.72,0.1668,0.0469,0.031,0.19,0.769
Gabon ,Africa,1424906,267667,5.3,0.05364,5500,0.632,1.26,0.66,98.08,0.3616,0.1225,0.061,0.592,0.348
Gambia,Africa,1641564,11300,145.3,0.07202,1700,0.401,25,0.5,74.5,0.3937,0.1225,0.308,0.142,0.549
Georgia ,Europe,4661473,69700,66.9,0.01859,2500,0.99,11.44,3.86,84.7,0.1041,0.0923,0.172,0.275,0.553
Germany ,Europe,82422299,357021,230.9,0.00416,27600,0.99,33.85,0.59,65.56,0.0825,0.1062,0.009,0.296,0.695
Ghana ,Africa,22409572,239460,93.6,0.05143,2200,0.748,16.26,9.67,74.07,0.3052,0.0972,0.366,0.246,0.387
Greece ,Europe,10688058,131940,81,0.00553,20000,0.975,21.1,8.78,70.12,0.0968,0.1024,0.054,0.213,0.733
Grenada ,SouthAmerica,89703,344,260.8,0.01462,5000,0.98,5.88,29.41,64.71,0.2208,0.0688,0.054,0.18,0.766
Guadeloupe ,SouthAmerica,452776,1780,254.4,0.0086,8000,0.9,11.24,3.55,85.21,0.1505,0.0609,0.15,0.17,0.68
Guatemala ,SouthAmerica,12293545,108890,112.9,0.03593,4100,0.706,12.54,5.03,82.43,0.2988,0.052,0.227,0.188,0.585
Guinea ,Africa,9690222,245857,39.4,0.09037,2100,0.359,3.63,2.58,93.79,0.4176,0.1548,0.237,0.362,0.401
Guinea-Bissau ,Africa,1442029,36120,39.9,0.10717,800,0.424,10.67,8.82,80.51,0.3722,0.1653,0.62,0.12,0.26
Guyana ,SouthAmerica,767245,214970,3.6,0.03326,4000,0.988,2.44,0.15,97.41,0.1828,0.0828,0.37,0.203,0.427
Haiti ,SouthAmerica,8308504,27750,299.4,0.07345,1600,0.529,28.3,11.61,60.09,0.3644,0.1217,0.28,0.2,0.52
Honduras ,SouthAmerica,7326496,112090,65.4,0.02932,2600,0.762,9.55,3.22,87.23,0.2824,0.0528,0.139,0.312,0.549
Hong Kong ,Asia,6940432,1092,6355.7,0.00297,28800,0.935,5.05,1.01,93.94,0.0729,0.0629,0.001,0.092,0.906
Hungary ,Europe,9981334,93030,107.3,0.00857,13900,0.994,50.09,2.06,47.85,0.0972,0.1311,0.037,0.312,0.651
Iceland ,Europe,299388,103000,2.9,0.00331,30900,0.999,0.07,0,99.93,0.1364,0.0672,0.086,0.15,0.765
India ,Asia,1095351995,3287590,333.2,0.05629,2900,0.595,54.4,2.74,42.86,0.2201,0.0818,0.186,0.276,0.538
Indonesia ,Asia,245452739,1919440,127.9,0.0356,3200,0.879,11.32,7.23,81.45,0.2034,0.0625,0.134,0.458,0.408
Iran ,Asia,68688433,1648000,41.7,0.04158,7000,0.794,8.72,1.39,89.89,0.17,0.0555,0.116,0.424,0.46
Iraq ,Asia,26783383,437072,61.3,0.05025,1500,0.404,13.15,0.78,86.07,0.3198,0.0537,0.073,0.666,0.261
Ireland ,Europe,4062235,70280,57.8,0.00539,29600,0.98,15.2,0.03,84.77,0.1445,0.0782,0.05,0.46,0.49
Israel ,Asia,6352117,20770,305.8,0.00703,19800,0.954,16.39,4.17,79.44,0.1797,0.0618,0.026,0.317,0.657
Italy ,Europe,58133509,301230,193,0.00594,26700,0.986,27.79,9.53,62.68,0.0872,0.104,0.021,0.291,0.688
Japan ,Asia,127463611,377835,337.4,0.00326,28200,0.99,12.19,0.96,86.85,0.0937,0.0916,0.017,0.258,0.725
Kenya ,Africa,34707817,582650,59.6,0.06147,1000,0.851,8.08,0.98,90.94,0.3972,0.1402,0.163,0.188,0.651
Korea. North ,Asia,23113019,120540,191.8,0.02404,1300,0.99,20.76,2.49,76.75,0.1554,0.0713,0.3,0.34,0.36
Korea. South ,Asia,48846823,98480,496,0.00705,17800,0.979,17.18,1.95,80.87,0.1,0.0585,0.033,0.403,0.563
Kuwait ,Asia,2418393,17820,135.7,0.00995,19000,0.835,0.73,0.11,99.16,0.2194,0.0241,0.004,0.479,0.516
Kyrgyzstan ,Asia,5213898,198500,26.3,0.03564,1600,0.97,7.3,0.35,92.35,0.228,0.0708,0.353,0.208,0.439
Laos ,Asia,6368481,236800,26.9,0.08522,1700,0.664,3.8,0.35,95.85,0.3549,0.1155,0.455,0.287,0.258
Latvia ,Europe,2274735,64589,35.2,0.00955,10200,0.998,29.67,0.47,69.86,0.0924,0.1366,0.04,0.261,0.699
Lebanon ,Asia,3874050,10400,372.5,0.02452,4800,0.874,16.62,13.98,69.4,0.1852,0.0621,0.12,0.21,0.67
Lesotho ,Africa,2022331,30355,66.6,0.08423,3000,0.848,10.87,0.13,89,0.2475,0.2871,0.163,0.443,0.394
Liberia ,Africa,3042004,111370,27.3,0.12887,1000,0.575,3.95,2.28,93.77,0.4477,0.231,0.769,0.054,0.177
Libya ,Africa,5900754,1759540,3.4,0.0246,6400,0.826,1.03,0.19,98.78,0.2649,0.0348,0.076,0.499,0.425
Liechtenstein ,Europe,33987,160,212.4,0.0047,25000,1,25,0,75,0.1021,0.0718,0.06,0.39,0.55
Lithuania ,Europe,3585906,65200,55,0.00689,11400,0.996,45.22,0.91,53.87,0.0875,0.1098,0.055,0.325,0.62
Luxembourg ,Europe,474413,2586,183.5,0.00481,55100,1,23.28,0.4,76.32,0.1194,0.0841,0.01,0.13,0.86
Madagascar ,Africa,18595469,587040,31.7,0.07683,800,0.689,5.07,1.03,93.91,0.4141,0.1111,0.276,0.165,0.559
Malawi ,Africa,13013926,118480,109.8,0.10332,600,0.627,23.38,1.49,75.13,0.4313,0.1933,0.342,0.158,0.499
Malaysia ,Asia,24385858,329750,74,0.0177,9000,0.887,5.48,17.61,76.91,0.2286,0.0505,0.084,0.48,0.436
Maldives ,Asia,359008,300,1196.7,0.05652,3900,0.972,13.33,16.67,70,0.3481,0.0706,0.2,0.18,0.62
Mali ,Africa,11716829,1240000,9.5,0.11679,900,0.464,3.82,0.03,96.15,0.4982,0.1689,0.45,0.17,0.38
Malta ,Europe,400214,316,1266.5,0.00389,17700,0.928,28.13,3.13,68.74,0.1022,0.081,0.03,0.23,0.74
Marshall Islands ,Oceania                            ,60422,11854,5.1,0.02945,1600,0.937,16.67,38.89,44.44,0.3305,0.0478,0.317,0.149,0.534
Martinique ,SouthAmerica,436131,1100,396.5,0.00709,14400,0.977,10.38,9.43,80.19,0.1374,0.0648,0.06,0.11,0.83
Mauritania ,Africa,3177388,1030700,3.1,0.07089,1800,0.417,0.48,0.01,99.51,0.4099,0.1216,0.25,0.29,0.46
Mexico ,NorthAmerica,107449525,1972550,54.5,0.02091,9000,0.922,12.99,1.31,85.7,0.2069,0.0474,0.038,0.259,0.702
Moldova ,Europe,4466706,33843,132,0.04042,1800,0.991,55.3,10.79,33.91,0.157,0.1264,0.213,0.233,0.555
Mongolia ,Asia,2832224,1564116,1.8,0.05379,1800,0.978,0.77,0,99.23,0.2159,0.0695,0.206,0.214,0.58
Morocco ,Africa,33241259,446550,74.4,0.04162,4000,0.517,19.61,2.17,78.22,0.2198,0.0558,0.217,0.357,0.426
